Week 1,,,,,
,,,,,
"Monday, May 4, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,,,0
,Robin,,,1,1
,Ruby,2,,,2
,Rayan,,,,0
Triss,Julie,,,1,1
,Lauren,,,,0
,Tessa,,,,0
,Jack,,,,0
Total,,2,0,2,4
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,4,0,0,no sales yet,
Emelia,5,0,0,no sales yet,
Justin,4,2,3,66.67%,
Triss,4,0,1,0.00%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 1,,,,,
,,,,,
"Tuesday, May 5, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,1,,,1
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,,,0
,Robin,,,,0
,Ruby,,,,0
,Rayan,,,,0
Triss,Julie,,,,0
,Lauren,,,,0
,Tessa,,,,0
,Jack,,,,0
Total,,1,0,0,1
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,4,0,0,no sales yet,
Emelia,5,1,1,100.00%,
Justin,4,0,0,no sales yet,
Triss,4,0,0,no sales yet,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 1,,,,,
,,,,,
"Wednesday, May 6, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,,,0
,Robin,,,,0
,Ruby,,,,0
,Rayan,,,,0
Triss,Julie,,,,0
,Lauren,,,,0
,Tessa,,,,0
,Jack,,,,0
Total,,0,0,0,0
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,4,0,0,no sales yet,
Emelia,5,0,0,no sales yet,
Justin,4,0,0,no sales yet,
Triss,4,0,0,no sales yet,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 1,,,,,
,,,,,
"Thursday, May 7, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,,,0
,Robin,,,,0
,Ruby,,,1,1
,Rayan,,,,0
Triss,Julie,,,,0
,Lauren,,,,0
,Tessa,,,,0
,Jack,,,1,1
Total,,0,0,2,2
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,4,0,0,no sales yet,
Emelia,5,0,0,no sales yet,
Justin,4,0,1,0.00%,
Triss,4,0,1,0.00%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 1,,,,,
,,,,,
"Friday, May 8, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,1,1
Justin,Jenny,,,,0
,Robin,1,,,1
,Ruby,,,,0
,Rayan,1,1,,2
Triss,Julie,,,1,1
,Lauren,,,,0
,Tessa,,,,0
,Jack,,,,0
Total,,2,1,2,5
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,4,0,0,no sales yet,
Emelia,5,0,1,0.00%,
Justin,4,2,3,66.67%,
Triss,4,0,1,0.00%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 2,,,,,
,,,,,
"Monday, May 11, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,1,,1
,Robin,,,,0
,Ruby,,,,0
,Rayan,,,,0
Triss,Julie,,,,0
,Lauren,,,,0
,Tessa,,,,0
,Jack,,,,0
Total,,0,1,0,1
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,4,0,0,no sales yet,
Emelia,5,0,0,no sales yet,
Justin,4,0,1,0.00%,
Triss,4,0,0,no sales yet,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 2,,,,,
,,,,,
"Tuesday, May 12, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,1,,1
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,,,0
,Robin,,,,0
,Ruby,,,,0
,Rayan,,,,0
Triss,Julie,,,,0
,Lauren,,,,0
,Tessa,,,,0
,Jack,,1,,1
Total,,0,2,0,2
,,,,,
Team,Agents count,Approved,Total,Conversion,Day-Offs
Jude,3,0,1,0.00%,
Emelia,4,0,0,no sales yet,
Justin,4,0,0,no sales yet,
Triss,3,0,1,0.00%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Week 2,,,,,
,,,,,
"Wednesday, May 13, 2026",,,,,
,,,,,
Team,Agent name,Approved,PostDated,Dropped,Total Sent
Jude,Cody,,,,0
,Jimmy,,,,0
,Emmalin,,,,0
,Monica,,,,0
Kate,Billie,,,,0
,Camilia,,,,0
,Cole,,,,0
,Eva,,,,0
,Linda,,,,0
Justin,Jenny,,,,0
